gridNum:389, nrmse:0.360
gridNum:381, nrmse:1.339
gridNum:376, nrmse:0.836
gridNum:394, nrmse:0.341
gridNum:395, nrmse:0.340
gridNum:375, nrmse:0.900
gridNum:380, nrmse:1.275
gridNum:374, nrmse:0.686
gridNum:365, nrmse:0.393
gridNum:379, nrmse:1.194
gridNum:383, nrmse:0.720
gridNum:399, nrmse:0.378
gridNum:382, nrmse:1.060
gridNum:402, nrmse:0.392
gridNum:367, nrmse:0.641
gridNum:400, nrmse:0.382
gridNum:401, nrmse:0.383
gridNum:403, nrmse:0.512
gridNum:417, nrmse:0.398
gridNum:414, nrmse:0.439
gridNum:416, nrmse:0.414
gridNum:404, nrmse:0.669
gridNum:386, nrmse:0.452
gridNum:412, nrmse:1.000
gridNum:408, nrmse:0.953
gridNum:418, nrmse:0.335
gridNum:410, nrmse:1.245
gridNum:392, nrmse:0.377
gridNum:405, nrmse:0.836
gridNum:407, nrmse:0.803
gridNum:419, nrmse:0.431
gridNum:430, nrmse:0.434
gridNum:409, nrmse:0.960
gridNum:413, nrmse:0.813
gridNum:357, nrmse:0.381
gridNum:429, nrmse:0.356
gridNum:415, nrmse:0.384
gridNum:304, nrmse:0.458
gridNum:420, nrmse:0.439
gridNum:411, nrmse:1.078
gridNum:427, nrmse:0.433
gridNum:432, nrmse:0.453
gridNum:426, nrmse:0.429
gridNum:423, nrmse:0.395
gridNum:424, nrmse:0.365
gridNum:421, nrmse:0.375
gridNum:425, nrmse:0.356
gridNum:444, nrmse:0.387
gridNum:337, nrmse:0.595
gridNum:456, nrmse:0.412
gridNum:446, nrmse:0.413
gridNum:457, nrmse:0.380
gridNum:436, nrmse:0.699
gridNum:447, nrmse:0.332
gridNum:449, nrmse:0.402
gridNum:450, nrmse:0.350
gridNum:454, nrmse:0.380
gridNum:453, nrmse:0.429
gridNum:451, nrmse:0.385
gridNum:373, nrmse:0.527
gridNum:460, nrmse:0.418
gridNum:445, nrmse:0.335
gridNum:431, nrmse:0.410
gridNum:433, nrmse:0.566
gridNum:443, nrmse:0.681
gridNum:435, nrmse:0.720
gridNum:466, nrmse:0.429
gridNum:397, nrmse:0.516
gridNum:458, nrmse:0.386
gridNum:455, nrmse:0.388
gridNum:438, nrmse:0.575
gridNum:448, nrmse:0.313
gridNum:461, nrmse:0.441
gridNum:428, nrmse:0.455
gridNum:441, nrmse:0.629
gridNum:406, nrmse:0.944
gridNum:439, nrmse:0.605
gridNum:459, nrmse:0.439
gridNum:462, nrmse:0.462
gridNum:440, nrmse:0.596
gridNum:452, nrmse:0.418
gridNum:463, nrmse:0.438
gridNum:464, nrmse:0.493
gridNum:484, nrmse:0.471
gridNum:479, nrmse:0.365
gridNum:465, nrmse:0.483
gridNum:477, nrmse:0.361
gridNum:478, nrmse:0.294
gridNum:475, nrmse:0.457
gridNum:472, nrmse:0.513
gridNum:481, nrmse:0.405
gridNum:490, nrmse:0.418
gridNum:485, nrmse:0.503
gridNum:391, nrmse:0.710
gridNum:492, nrmse:0.588
gridNum:491, nrmse:0.443
gridNum:469, nrmse:0.470
gridNum:470, nrmse:0.504
gridNum:496, nrmse:0.427
gridNum:437, nrmse:0.645
gridNum:499, nrmse:0.375
gridNum:488, nrmse:0.477
gridNum:489, nrmse:0.411
gridNum:471, nrmse:0.452
gridNum:468, nrmse:0.481
gridNum:487, nrmse:0.399
gridNum:480, nrmse:0.443
gridNum:507, nrmse:0.393
gridNum:505, nrmse:0.488
gridNum:434, nrmse:0.722
gridNum:515, nrmse:0.468
gridNum:500, nrmse:0.493
gridNum:476, nrmse:0.453
gridNum:516, nrmse:0.413
gridNum:524, nrmse:0.580
gridNum:509, nrmse:0.414
gridNum:508, nrmse:0.371
gridNum:519, nrmse:0.492
gridNum:521, nrmse:0.556
gridNum:495, nrmse:0.478
gridNum:503, nrmse:0.509
gridNum:493, nrmse:0.474
gridNum:525, nrmse:0.625
gridNum:511, nrmse:0.357
gridNum:517, nrmse:0.477
gridNum:510, nrmse:0.428
gridNum:498, nrmse:0.409
gridNum:467, nrmse:0.441
gridNum:442, nrmse:0.803
gridNum:486, nrmse:0.409
gridNum:422, nrmse:0.336
gridNum:506, nrmse:0.442
gridNum:518, nrmse:0.658
gridNum:504, nrmse:0.578
gridNum:497, nrmse:0.488
gridNum:538, nrmse:0.485
gridNum:539, nrmse:0.445
gridNum:526, nrmse:0.468
gridNum:537, nrmse:0.422
gridNum:533, nrmse:0.426
gridNum:534, nrmse:0.521
gridNum:514, nrmse:0.475
gridNum:532, nrmse:0.493
gridNum:545, nrmse:0.491
gridNum:494, nrmse:0.484
gridNum:536, nrmse:0.544
gridNum:551, nrmse:0.423
gridNum:547, nrmse:0.546
gridNum:549, nrmse:0.428
gridNum:520, nrmse:0.415
gridNum:527, nrmse:0.446
gridNum:528, nrmse:0.406
gridNum:502, nrmse:0.488
gridNum:548, nrmse:0.685
gridNum:554, nrmse:0.918
gridNum:550, nrmse:0.517
gridNum:540, nrmse:0.340
gridNum:501, nrmse:0.491
gridNum:541, nrmse:0.358
gridNum:566, nrmse:0.572
gridNum:567, nrmse:0.453
gridNum:569, nrmse:0.378
gridNum:522, nrmse:0.458
gridNum:535, nrmse:0.643
gridNum:474, nrmse:0.539
gridNum:557, nrmse:0.603
gridNum:570, nrmse:0.330
gridNum:565, nrmse:0.619
gridNum:513, nrmse:0.553
gridNum:561, nrmse:0.520
gridNum:512, nrmse:0.462
gridNum:530, nrmse:0.499
gridNum:578, nrmse:0.500
gridNum:574, nrmse:0.422
gridNum:583, nrmse:0.609
gridNum:562, nrmse:0.400
gridNum:581, nrmse:0.410
gridNum:575, nrmse:0.417
gridNum:546, nrmse:0.526
gridNum:544, nrmse:0.487
gridNum:568, nrmse:0.397
gridNum:580, nrmse:0.565
gridNum:582, nrmse:0.522
gridNum:577, nrmse:0.547
gridNum:560, nrmse:0.572
gridNum:585, nrmse:0.684
gridNum:543, nrmse:0.561
gridNum:531, nrmse:0.505
gridNum:594, nrmse:0.510
gridNum:590, nrmse:0.693
gridNum:556, nrmse:0.523
gridNum:553, nrmse:0.551
gridNum:523, nrmse:0.445
gridNum:597, nrmse:0.570
gridNum:592, nrmse:0.633
gridNum:589, nrmse:0.598
gridNum:529, nrmse:0.490
gridNum:559, nrmse:0.538
gridNum:588, nrmse:0.571
gridNum:599, nrmse:0.360
gridNum:598, nrmse:0.423
gridNum:600, nrmse:0.415
gridNum:552, nrmse:0.534
gridNum:607, nrmse:0.465
gridNum:596, nrmse:0.542
gridNum:610, nrmse:0.520
gridNum:591, nrmse:0.506
gridNum:593, nrmse:0.587
gridNum:604, nrmse:0.590
gridNum:608, nrmse:0.424
gridNum:605, nrmse:0.500
gridNum:613, nrmse:0.504
gridNum:603, nrmse:0.528
gridNum:609, nrmse:0.478
gridNum:614, nrmse:0.605
